,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
47,2/17/2019,24287,39660,299711,1439,30
48,2/18/2019,26176,37500,299757,810,17
49,2/19/2019,35226,49024,299810,595,10
50,2/20/2019,20694,28763,299835,221,15
51,2/21/2019,40082,60375,299871,961,37
52,2/22/2019,42338,61956,299913,1097,49
53,2/23/2019,31956,49887,299956,1635,28
54,2/24/2019,24503,37473,299993,992,19
55,2/25/2019,34736,47207,300029,495,14
56,2/26/2019,38126,52805,300067,524,23
57,2/27/2019,37028,48666,300097,464,27
58,2/28/2019,38784,53031,300157,652,30
59,3/1/2019,30242,41583,300183,522,26
60,3/2/2019,18001,27381,300213,570,25
61,3/3/2019,23240,35764,300264,1115,22
62,3/4/2019,28424,39154,300319,563,23
63,3/5/2019,37103,50155,300367,552,24
64,3/6/2019,33287,42845,300409,376,27
65,3/7/2019,35913,46582,300450,468,15
66,3/8/2019,40416,55748,300503,852,32
67,3/9/2019,38929,68739,300574,3010,35
68,3/10/2019,18897,28056,300611,662,16
69,3/11/2019,52412,80705,300691,1749,56
70,3/12/2019,47214,66518,300757,1003,40
71,3/13/2019,50121,71556,300825,1194,42
72,3/14/2019,57476,86864,300904,1826,82
73,3/15/2019,57517,95073,300987,2843,119
74,3/16/2019,42144,74307,301086,3369,97
75,3/17/2019,36826,64440,301187,2755,73
76,3/18/2019,46535,68775,301278,1361,54
77,3/19/2019,52997,78320,301381,1602,49
78,3/20/2019,55396,83442,301476,1723,58
79,3/21/2019,21248,27005,301520,342,14
80,3/22/2019,35477,49691,301579,1076,51
81,3/23/2019,37379,61407,301671,2693,74
82,3/24/2019,50318,100843,301827,5896,79
83,3/25/2019,53463,79824,301952,1562,64
84,3/26/2019,55421,81425,302083,1715,49
85,3/27/2019,54483,78975,302176,1583,56
86,3/28/2019,58538,87465,302430,1966,87
87,3/29/2019,59324,91975,302587,2573,103
88,3/30/2019,66672,144759,302941,9151,135
89,3/31/2019,32768,52486,303060,1916,52
90,4/1/2019,51399,75072,303223,1466,76
91,4/2/2019,57903,83399,303386,1483,73
92,4/3/2019,67924,108780,303552,3013,79
93,4/4/2019,66403,104268,303699,2633,87
94,4/5/2019,34470,46930,303766,812,46
95,4/6/2019,66532,143054,303958,8852,139
96,4/7/2019,64713,138291,304216,8191,87
97,4/8/2019,70514,123304,304525,3804,89
98,4/9/2019,59336,86248,304677,1684,79
99,4/10/2019,70988,112985,304865,2845,116
100,4/11/2019,62430,93232,305003,2222,93
101,4/12/2019,58010,92517,305134,2811,118
102,4/13/2019,71500,159264,305362,10443,128
103,4/14/2019,58474,123470,305584,7263,119
104,4/15/2019,45663,71673,305722,1816,75
105,4/16/2019,63323,106799,305906,3197,134
106,4/17/2019,65249,109668,306077,3276,89
107,4/18/2019,61568,98909,306205,2845,104
108,4/19/2019,64939,120796,306365,5782,271
109,4/20/2019,36785,68489,306453,4049,115
110,4/21/2019,51869,114490,306647,7439,140
111,4/22/2019,44112,71869,306827,3426,69
112,4/23/2019,75443,143334,307082,5928,202
113,4/24/2019,77736,144473,307320,5868,135
114,4/25/2019,60834,101124,307484,3569,114
115,4/26/2019,37121,55000,307578,1387,76
116,4/27/2019,56442,111440,307737,7022,151
117,4/28/2019,41204,68976,307862,3338,87
118,4/29/2019,60801,98707,308020,2829,104
119,4/30/2019,62668,99225,308192,2715,94
120,5/1/2019,60904,93434,308383,2285,106
121,5/2/2019,68714,115573,308575,3763,171
122,5/3/2019,62410,100885,308738,3452,151
123,5/4/2019,56025,114113,308919,7286,110
124,5/5/2019,16169,25232,308988,802,16
125,5/6/2019,69920,121887,309187,4178,166
126,5/7/2019,72829,126637,309356,4055,124
127,5/8/2019,76398,130821,309530,4255,131
128,5/9/2019,66689,105721,309646,2851,130
129,5/10/2019,68044,114830,309790,4427,163
130,5/11/2019,69788,153674,310021,10581,133
131,5/12/2019,10730,15759,310063,475,9
132,5/13/2019,22300,29434,310141,553,19
133,5/14/2019,42783,61756,310248,1301,73
134,5/15/2019,74314,129217,310395,4484,140
135,5/16/2019,77889,139278,310590,5354,174
136,5/17/2019,72118,126992,310760,5124,167
137,5/18/2019,73143,162302,310992,11292,227
138,5/19/2019,69920,154638,311245,10321,193
139,5/20/2019,74494,133696,311495,5225,173
140,5/21/2019,79261,139284,311686,5088,160
141,5/22/2019,82021,144186,311888,5431,153
142,5/23/2019,56578,93244,312082,3527,121
143,5/24/2019,74866,141169,312276,7322,245
144,5/25/2019,59492,136772,312484,10682,279
145,5/26/2019,49950,118192,312648,9325,145
146,5/27/2019,66595,160750,312896,12124,136
147,5/28/2019,59435,97330,313092,2992,96
148,5/29/2019,55098,87647,313251,2952,111
149,5/30/2019,52484,84325,313402,2831,129
150,5/31/2019,83347,156832,313606,7586,261
151,6/1/2019,76416,164956,313815,12153,214
152,6/2/2019,67288,147247,314051,10419,144
153,6/3/2019,77678,141960,314327,6027,152
154,6/4/2019,83301,150076,314642,6422,168
155,6/5/2019,78791,134998,314889,5166,143
156,6/6/2019,81323,143619,315121,6138,183
157,6/7/2019,82908,150312,315337,7530,256
158,6/8/2019,78074,175352,315583,13831,206
159,6/9/2019,73954,167597,315861,12833,121
160,6/10/2019,37019,54769,316007,1566,44
